store,upc,week,move,price,profit,descrip,custcoun,Brand
5,4900000658,7,33,.03875,22.94,"COKE DIET CANS",19710,49000
5,5490000060,7,16,.02498963,20.12,"DR PEPPER",19710,54900
5,1200000230,8,142,.02498963,20.12,"PEPSI COLA N/R",19410,12000
5,1200000394,8,28,.02335938,20.07,"PEPSI COLA N.R. BOTT",19410,12000
5,1200000396,8,18,.02335938,20.07,"DIET PEPSI N.R. BOTT",19410,12000
5,1200000492,8,48,.02498963,20.12,"CAFFEINE FREE PEPSI",19410,12000
5,1200000496,8,47,.02498963,20.12,"DIET PEPSI CAFFEINE",19410,12000
5,3828100261,8,74,.02083333,37.6,"DOM ORANGE SODA",19410,38281
5,4900000634,8,42,.03875,22.94,"COCA-COLA CLASSIC CA",19410,49000
5,4900000639,8,126,.02498963,20.12,"COCA-COLA CLASSIC",19410,49000
5,4900000658,8,28,.03875,22.94,"COKE DIET CANS",19410,49000
5,5490000060,8,31,.02498963,20.12,"DR PEPPER",19410,54900
5,1200000230,9,918,.0146389,36.36,"PEPSI COLA N/R",18515,12000
5,1200000394,9,25,.02335938,20.07,"PEPSI COLA N.R. BOTT",18515,12000
5,1200000396,9,16,.02335938,20.07,"DIET PEPSI N.R. BOTT",18515,12000
5,1200000492,9,374,.0146389,36.36,"CAFFEINE FREE PEPSI",18515,12000
5,1200000496,9,412,.0146389,36.36,"DIET PEPSI CAFFEINE",18515,12000
5,3828100261,9,469,.01083333,.77,"DOM ORANGE SODA",18515,38281
5,4900000634,9,33,.03875,22.94,"COCA-COLA CLASSIC CA",18515,49000
5,4900000639,9,88,.02498963,20.12,"COCA-COLA CLASSIC",18515,49000
5,4900000658,9,26,.03875,22.94,"COKE DIET CANS",18515,49000
5,5490000060,9,55,.01611757,21.1,"DR PEPPER",18515,54900
5,1200000230,10,179,.02498963,20.12,"PEPSI COLA N/R",18276,12000
5,1200000394,10,29,.02335938,20.07,"PEPSI COLA N.R. BOTT",18276,12000
5,1200000396,10,35,.02335938,20.07,"DIET PEPSI N.R. BOTT",18276,12000
5,1200000492,10,62,.02498963,20.12,"CAFFEINE FREE PEPSI",18276,12000
5,1200000496,10,64,.02498963,20.12,"DIET PEPSI CAFFEINE",18276,12000
5,3828100261,10,42,.02083333,50,"DOM ORANGE SODA",18276,38281
5,4900000634,10,55,.03875,22.94,"COCA-COLA CLASSIC CA",18276,49000
5,4900000639,10,157,.02498963,20.12,"COCA-COLA CLASSIC",18276,49000
5,4900000658,10,26,.03875,22.94,"COKE DIET CANS",18276,49000
5,5490000060,10,46,.01611757,21.1,"DR PEPPER",18276,54900
5,1200000230,11,1123,.01316022,51.69,"PEPSI COLA N/R",17044,12000
5,1200000394,11,19,.02335938,20.07,"PEPSI COLA N.R. BOTT",17044,12000
5,1200000396,11,14,.02335938,20.07,"DIET PEPSI N.R. BOTT",17044,12000
5,1200000492,11,304,.01316022,51.69,"CAFFEINE FREE PEPSI",17044,12000
5,1200000496,11,335,.01316022,51.69,"DIET PEPSI CAFFEINE",17044,12000
5,3828100261,11,169,.01388889,30.63,"DOM ORANGE SODA",17044,38281
5,4900000634,11,42,.03875,22.94,"COCA-COLA CLASSIC CA",17044,49000
5,4900000639,11,1143,.01316022,51.69,"COCA-COLA CLASSIC",17044,49000
5,4900000658,11,21,.03875,22.94,"COKE DIET CANS",17044,49000
5,5490000060,11,101,.01316022,3.37,"DR PEPPER",17044,54900
5,1200000230,12,191,.02498963,20.12,"PEPSI COLA N/R",18307,12000
